# file...... Output_EVs_4kW\Load53_voltage.csv
# date...... Thu Mar 03 17:48:45 2016
# user...... Gregorio
# host...... (null)
# target.... load 1024
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_B
2000-01-01 00:01:00 EST,+251.944-150.01d
2000-01-01 00:02:00 EST,+251.946-150.009d
2000-01-01 00:03:00 EST,+251.967-150.02d
2000-01-01 00:04:00 EST,+251.898-150.02d
2000-01-01 00:05:00 EST,+251.838-150.013d
2000-01-01 00:06:00 EST,+251.813-150.018d
2000-01-01 00:07:00 EST,+251.819-150.025d
2000-01-01 00:08:00 EST,+251.82-150.033d
2000-01-01 00:09:00 EST,+251.824-150.038d
2000-01-01 00:10:00 EST,+251.95-150.157d
2000-01-01 00:11:00 EST,+251.697-150.014d
2000-01-01 00:12:00 EST,+251.701-150.02d
2000-01-01 00:13:00 EST,+251.692-150.022d
2000-01-01 00:14:00 EST,+251.665-150.023d
2000-01-01 00:15:00 EST,+251.663-150.021d
2000-01-01 00:16:00 EST,+251.659-150.025d
2000-01-01 00:17:00 EST,+251.724-150.061d
2000-01-01 00:18:00 EST,+251.724-150.061d
2000-01-01 00:19:00 EST,+251.722-150.059d
2000-01-01 00:20:00 EST,+251.695-150.021d
2000-01-01 00:21:00 EST,+251.695-150.021d
2000-01-01 00:22:00 EST,+251.696-150.022d
2000-01-01 00:23:00 EST,+251.696-150.022d
2000-01-01 00:24:00 EST,+251.723-150.021d
2000-01-01 00:25:00 EST,+251.801-150.01d
2000-01-01 00:26:00 EST,+251.816-150.005d
2000-01-01 00:27:00 EST,+251.746-150.006d
2000-01-01 00:28:00 EST,+251.746-150.006d
2000-01-01 00:29:00 EST,+251.757-150.019d
2000-01-01 00:30:00 EST,+251.771-150.028d
2000-01-01 00:31:00 EST,+251.895-150.038d
2000-01-01 00:32:00 EST,+251.891-150.038d
2000-01-01 00:33:00 EST,+252.045-150.036d
2000-01-01 00:34:00 EST,+252.046-150.036d
2000-01-01 00:35:00 EST,+252.045-150.035d
2000-01-01 00:36:00 EST,+251.992-150.035d
2000-01-01 00:37:00 EST,+251.995-150.039d
2000-01-01 00:38:00 EST,+251.975-150.049d
2000-01-01 00:39:00 EST,+251.979-150.053d
2000-01-01 00:40:00 EST,+252.03-150.071d
2000-01-01 00:41:00 EST,+252.05-150.075d
2000-01-01 00:42:00 EST,+251.998-150.074d
2000-01-01 00:43:00 EST,+252.005-150.07d
2000-01-01 00:44:00 EST,+251.97-150.058d
2000-01-01 00:45:00 EST,+251.927-150.055d
2000-01-01 00:46:00 EST,+251.913-150.041d
2000-01-01 00:47:00 EST,+251.87-150.052d
2000-01-01 00:48:00 EST,+251.742-150.047d
2000-01-01 00:49:00 EST,+251.731-150.055d
2000-01-01 00:50:00 EST,+251.658-150.055d
2000-01-01 00:51:00 EST,+251.665-150.051d
2000-01-01 00:52:00 EST,+251.619-150.051d
2000-01-01 00:53:00 EST,+251.622-150.054d
2000-01-01 00:54:00 EST,+251.737-150.2d
2000-01-01 00:55:00 EST,+251.781-150.188d
2000-01-01 00:56:00 EST,+251.714-150.192d
2000-01-01 00:57:00 EST,+251.568-150.048d
2000-01-01 00:58:00 EST,+251.576-150.045d
2000-01-01 00:59:00 EST,+251.642-150.031d
2000-01-01 01:00:00 EST,+251.643-150.033d
2000-01-01 01:01:00 EST,+251.627-149.994d
2000-01-01 01:02:00 EST,+251.619-149.987d
2000-01-01 01:03:00 EST,+251.648-149.991d
2000-01-01 01:04:00 EST,+251.608-149.989d
2000-01-01 01:05:00 EST,+251.628-149.981d
2000-01-01 01:06:00 EST,+251.606-149.986d
2000-01-01 01:07:00 EST,+251.601-149.98d
2000-01-01 01:08:00 EST,+251.703-149.995d
2000-01-01 01:09:00 EST,+251.696-149.987d
2000-01-01 01:10:00 EST,+251.737-149.98d
2000-01-01 01:11:00 EST,+251.741-149.975d
2000-01-01 01:12:00 EST,+251.84-149.978d
2000-01-01 01:13:00 EST,+251.811-149.988d
2000-01-01 01:14:00 EST,+251.912-150.003d
2000-01-01 01:15:00 EST,+251.912-150.003d
2000-01-01 01:16:00 EST,+252.019-149.998d
2000-01-01 01:17:00 EST,+251.901-150.011d
