# Output\output_current_1.csv run at 2000-01-01 09:00:00 WET on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
TR1,0.515783,-0.230079,0.516908,3.784915,0.436780,1.775085
LINE1,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE2,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE3,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE4,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE5,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE6,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE7,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE8,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE9,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE10,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE11,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE12,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE13,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE14,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE15,0.000000,0.058209,0.000000,3.553288,0.000000,1.545539
LINE16,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE17,0.000000,-0.346682,0.000000,3.760162,0.000000,-0.024932
LINE18,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE19,0.000000,3.361639,0.000000,3.580308,0.000000,-1.538905
LINE20,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE21,0.000000,0.000000,0.000000,-0.024932,0.000000,-1.509678
LINE22,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE23,0.000000,-0.488580,0.000000,3.361639,0.000000,-1.341580
LINE24,11.524781,-0.841184,15.649325,3.347770,11.579056,1.252475
LINE25,0.000000,-0.668433,0.000000,3.657080,0.000000,-0.024932
LINE26,1.599709,-0.841478,0.000000,3.951684,0.000000,1.735134
LINE27,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE28,0.000000,4.687457,0.000000,3.978831,0.000000,1.375652
LINE29,0.150359,-0.841488,0.000000,-0.016203,0.000000,1.519971
LINE30,1.449350,-0.841478,0.000000,3.944163,0.000000,1.726196
LINE31,9.925073,-0.841136,15.649325,3.347770,11.579056,1.252475
LINE32,0.000000,-0.108073,0.000000,3.924277,0.000000,-1.287514
LINE33,0.150359,-0.841488,0.000000,-0.854026,0.000000,-1.165042
LINE34,1.449350,-0.841478,0.000000,4.532084,0.000000,1.793227
LINE35,0.000000,0.477960,0.472362,3.347239,0.000000,-1.568000
