# file...... Output_case1_3p\Load1_voltage.csv
# date...... Thu Feb 18 14:31:07 2016
# user...... Gregorio
# host...... (null)
# target.... load 920
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_A
2000-01-01 00:01:00 EST,+252.131-30.0073d
2000-01-01 00:02:00 EST,+252.131-30.0073d
2000-01-01 00:03:00 EST,+252.124-30.0082d
2000-01-01 00:04:00 EST,+252.116-30.0092d
2000-01-01 00:05:00 EST,+252.109-30.0102d
2000-01-01 00:06:00 EST,+252.107-30.0105d
2000-01-01 00:07:00 EST,+252.105-30.0108d
2000-01-01 00:08:00 EST,+252.101-30.0114d
2000-01-01 00:09:00 EST,+252.098-30.0118d
2000-01-01 00:10:00 EST,+252.055-30.0176d
2000-01-01 00:11:00 EST,+252.097-30.0121d
2000-01-01 00:12:00 EST,+252.093-30.0126d
2000-01-01 00:13:00 EST,+252.094-30.0124d
2000-01-01 00:14:00 EST,+252.092-30.0127d
2000-01-01 00:15:00 EST,+252.093-30.0126d
2000-01-01 00:16:00 EST,+252.092-30.0128d
2000-01-01 00:17:00 EST,+252.052-30.0181d
2000-01-01 00:18:00 EST,+252.052-30.0181d
2000-01-01 00:19:00 EST,+252.054-30.018d
2000-01-01 00:20:00 EST,+252.092-30.0127d
2000-01-01 00:21:00 EST,+252.092-30.0127d
2000-01-01 00:22:00 EST,+252.092-30.0127d
2000-01-01 00:23:00 EST,+252.092-30.0127d
2000-01-01 00:24:00 EST,+252.086-30.0135d
2000-01-01 00:25:00 EST,+252.084-30.0138d
2000-01-01 00:26:00 EST,+252.082-30.0141d
2000-01-01 00:27:00 EST,+252.083-30.0139d
2000-01-01 00:28:00 EST,+252.083-30.0139d
2000-01-01 00:29:00 EST,+252.077-30.0147d
2000-01-01 00:30:00 EST,+252.073-30.0153d
2000-01-01 00:31:00 EST,+252.081-30.0143d
2000-01-01 00:32:00 EST,+252.082-30.0141d
2000-01-01 00:33:00 EST,+252.082-30.0141d
2000-01-01 00:34:00 EST,+252.081-30.0142d
2000-01-01 00:35:00 EST,+252.082-30.0141d
2000-01-01 00:36:00 EST,+252.079-30.0145d
2000-01-01 00:37:00 EST,+252.076-30.0149d
2000-01-01 00:38:00 EST,+252.076-30.0149d
2000-01-01 00:39:00 EST,+252.075-30.0151d
2000-01-01 00:40:00 EST,+252.076-30.0148d
2000-01-01 00:41:00 EST,+252.074-30.0152d
2000-01-01 00:42:00 EST,+252.07-30.0157d
2000-01-01 00:43:00 EST,+252.069-30.0158d
2000-01-01 00:44:00 EST,+252.065-30.0164d
2000-01-01 00:45:00 EST,+252.062-30.0168d
2000-01-01 00:46:00 EST,+252.068-30.016d
2000-01-01 00:47:00 EST,+252.072-30.0155d
2000-01-01 00:48:00 EST,+252.069-30.0159d
2000-01-01 00:49:00 EST,+252.063-30.0162d
2000-01-01 00:50:00 EST,+252.054-30.0174d
2000-01-01 00:51:00 EST,+252.054-30.0175d
2000-01-01 00:52:00 EST,+252.051-30.0178d
2000-01-01 00:53:00 EST,+252.051-30.0178d
2000-01-01 00:54:00 EST,+252.011-30.0233d
2000-01-01 00:55:00 EST,+252.008-30.0237d
2000-01-01 00:56:00 EST,+251.996-30.0253d
2000-01-01 00:57:00 EST,+252.034-30.0201d
2000-01-01 00:58:00 EST,+252.034-30.0202d
2000-01-01 00:59:00 EST,+252.024-30.0215d
2000-01-01 01:00:00 EST,+252.023-30.0217d
2000-01-01 01:01:00 EST,+252.052-30.0178d
2000-01-01 01:02:00 EST,+252.053-30.0175d
2000-01-01 01:03:00 EST,+252.058-30.0169d
2000-01-01 01:04:00 EST,+252.056-30.0171d
2000-01-01 01:05:00 EST,+252.055-30.0174d
2000-01-01 01:06:00 EST,+252.058-30.0169d
2000-01-01 01:07:00 EST,+252.059-30.0164d
2000-01-01 01:08:00 EST,+252.063-30.0159d
2000-01-01 01:09:00 EST,+252.066-30.0154d
2000-01-01 01:10:00 EST,+252.072-30.0147d
2000-01-01 01:11:00 EST,+252.079-30.0141d
2000-01-01 01:12:00 EST,+252.082-30.0137d
2000-01-01 01:13:00 EST,+252.07-30.0153d
2000-01-01 01:14:00 EST,+252.069-30.0155d
2000-01-01 01:15:00 EST,+252.069-30.0155d
2000-01-01 01:16:00 EST,+252.07-30.0154d
2000-01-01 01:17:00 EST,+252.071-30.0152d
2000-01-01 01:18:00 EST,+252.06-30.0168d
2000-01-01 01:19:00 EST,+252.063-30.0164d
2000-01-01 01:20:00 EST,+252.06-30.0167d
2000-01-01 01:21:00 EST,+252.057-30.0171d
2000-01-01 01:22:00 EST,+252.058-30.0171d
2000-01-01 01:23:00 EST,+252.058-30.017d
2000-01-01 01:24:00 EST,+252.061-30.0166d
2000-01-01 01:25:00 EST,+252.062-30.0169d
2000-01-01 01:26:00 EST,+252.06-30.0171d
2000-01-01 01:27:00 EST,+252.062-30.0169d
2000-01-01 01:28:00 EST,+252.059-30.0172d
2000-01-01 01:29:00 EST,+252.051-30.0184d
2000-01-01 01:30:00 EST,+252.051-30.0184d
2000-01-01 01:31:00 EST,+252.048-30.0188d
2000-01-01 01:32:00 EST,+252.046-30.019d
2000-01-01 01:33:00 EST,+252.046-30.019d
2000-01-01 01:34:00 EST,+252.047-30.0189d
2000-01-01 01:35:00 EST,+252.054-30.0179d
2000-01-01 01:36:00 EST,+252.056-30.0176d
2000-01-01 01:37:00 EST,+252.046-30.019d
2000-01-01 01:38:00 EST,+252.056-30.0176d
2000-01-01 01:39:00 EST,+252.059-30.0172d
2000-01-01 01:40:00 EST,+252.062-30.0168d
2000-01-01 01:41:00 EST,+252.063-30.0167d
2000-01-01 01:42:00 EST,+252.058-30.0174d
2000-01-01 01:43:00 EST,+252.061-30.0169d
2000-01-01 01:44:00 EST,+252.062-30.0168d
2000-01-01 01:45:00 EST,+252.062-30.0169d
2000-01-01 01:46:00 EST,+252.06-30.0171d
2000-01-01 01:47:00 EST,+252.064-30.0165d
2000-01-01 01:48:00 EST,+252.072-30.0155d
2000-01-01 01:49:00 EST,+252.08-30.0144d
2000-01-01 01:50:00 EST,+252.087-30.0135d
2000-01-01 01:51:00 EST,+252.087-30.0134d
2000-01-01 01:52:00 EST,+252.088-30.0133d
2000-01-01 01:53:00 EST,+252.086-30.0136d
2000-01-01 01:54:00 EST,+252.088-30.0132d
2000-01-01 01:55:00 EST,+252.09-30.013d
2000-01-01 01:56:00 EST,+252.09-30.013d
2000-01-01 01:57:00 EST,+252.09-30.013d
2000-01-01 01:58:00 EST,+252.095-30.0123d
2000-01-01 01:59:00 EST,+252.095-30.0123d
2000-01-01 02:00:00 EST,+252.09-30.013d
2000-01-01 02:01:00 EST,+252.097-30.012d
2000-01-01 02:02:00 EST,+252.097-30.0121d
2000-01-01 02:03:00 EST,+252.095-30.0123d
2000-01-01 02:04:00 EST,+252.094-30.0125d
2000-01-01 02:05:00 EST,+252.094-30.0125d
2000-01-01 02:06:00 EST,+252.09-30.013d
2000-01-01 02:07:00 EST,+252.09-30.013d
2000-01-01 02:08:00 EST,+252.09-30.013d
2000-01-01 02:09:00 EST,+252.086-30.0135d
2000-01-01 02:10:00 EST,+252.08-30.0144d
2000-01-01 02:11:00 EST,+252.086-30.0136d
2000-01-01 02:12:00 EST,+252.078-30.0146d
2000-01-01 02:13:00 EST,+252.077-30.0148d
2000-01-01 02:14:00 EST,+252.074-30.0152d
2000-01-01 02:15:00 EST,+252.071-30.0157d
2000-01-01 02:16:00 EST,+252.071-30.0157d
2000-01-01 02:17:00 EST,+252.073-30.0153d
2000-01-01 02:18:00 EST,+252.075-30.015d
2000-01-01 02:19:00 EST,+252.075-30.0151d
2000-01-01 02:20:00 EST,+252.08-30.0144d
2000-01-01 02:21:00 EST,+252.085-30.0137d
2000-01-01 02:22:00 EST,+252.084-30.0138d
