# file...... Output_case1_3p\Load32_voltage.csv
# date...... Thu Feb 18 14:31:07 2016
# user...... Gregorio
# host...... (null)
# target.... load 982
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_C
2000-01-01 00:01:00 EST,+252.011+89.9961d
2000-01-01 00:02:00 EST,+252.01+89.9961d
2000-01-01 00:03:00 EST,+251.986+89.9957d
2000-01-01 00:04:00 EST,+251.963+89.9951d
2000-01-01 00:05:00 EST,+251.937+89.9946d
2000-01-01 00:06:00 EST,+251.931+89.9945d
2000-01-01 00:07:00 EST,+251.919+89.9944d
2000-01-01 00:08:00 EST,+251.905+89.9941d
2000-01-01 00:09:00 EST,+251.895+89.9939d
2000-01-01 00:10:00 EST,+251.707+89.9917d
2000-01-01 00:11:00 EST,+251.88+89.994d
2000-01-01 00:12:00 EST,+251.87+89.9937d
2000-01-01 00:13:00 EST,+251.875+89.9938d
2000-01-01 00:14:00 EST,+251.866+89.9936d
2000-01-01 00:15:00 EST,+251.87+89.9937d
2000-01-01 00:16:00 EST,+251.868+89.9936d
2000-01-01 00:17:00 EST,+251.79+89.9897d
2000-01-01 00:18:00 EST,+251.79+89.9897d
2000-01-01 00:19:00 EST,+251.794+89.9898d
2000-01-01 00:20:00 EST,+251.871+89.9936d
2000-01-01 00:21:00 EST,+251.871+89.9936d
2000-01-01 00:22:00 EST,+251.87+89.9936d
2000-01-01 00:23:00 EST,+251.87+89.9936d
2000-01-01 00:24:00 EST,+251.85+89.9932d
2000-01-01 00:25:00 EST,+251.856+89.9928d
2000-01-01 00:26:00 EST,+251.849+89.9927d
2000-01-01 00:27:00 EST,+251.848+89.9929d
2000-01-01 00:28:00 EST,+251.848+89.9929d
2000-01-01 00:29:00 EST,+251.83+89.9924d
2000-01-01 00:30:00 EST,+251.813+89.9922d
2000-01-01 00:31:00 EST,+251.844+89.9925d
2000-01-01 00:32:00 EST,+251.847+89.9926d
2000-01-01 00:33:00 EST,+251.848+89.9926d
2000-01-01 00:34:00 EST,+251.846+89.9926d
2000-01-01 00:35:00 EST,+251.848+89.9926d
2000-01-01 00:36:00 EST,+251.837+89.9924d
2000-01-01 00:37:00 EST,+251.829+89.9922d
2000-01-01 00:38:00 EST,+251.834+89.9921d
2000-01-01 00:39:00 EST,+251.829+89.992d
2000-01-01 00:40:00 EST,+251.834+89.9922d
2000-01-01 00:41:00 EST,+251.821+89.9921d
2000-01-01 00:42:00 EST,+251.811+89.9918d
2000-01-01 00:43:00 EST,+251.805+89.9918d
2000-01-01 00:44:00 EST,+251.79+89.9915d
2000-01-01 00:45:00 EST,+251.786+89.9912d
2000-01-01 00:46:00 EST,+251.806+89.9915d
2000-01-01 00:47:00 EST,+251.819+89.9918d
2000-01-01 00:48:00 EST,+251.807+89.9917d
2000-01-01 00:49:00 EST,+251.805+89.9912d
2000-01-01 00:50:00 EST,+251.768+89.9907d
2000-01-01 00:51:00 EST,+251.766+89.9907d
2000-01-01 00:52:00 EST,+251.758+89.9905d
2000-01-01 00:53:00 EST,+251.755+89.9906d
2000-01-01 00:54:00 EST,+251.587+89.9884d
2000-01-01 00:55:00 EST,+251.573+89.9882d
2000-01-01 00:56:00 EST,+251.525+89.9875d
2000-01-01 00:57:00 EST,+251.692+89.9896d
2000-01-01 00:58:00 EST,+251.689+89.9895d
2000-01-01 00:59:00 EST,+251.655+89.9889d
2000-01-01 01:00:00 EST,+251.651+89.9888d
2000-01-01 01:01:00 EST,+251.729+89.9911d
2000-01-01 01:02:00 EST,+251.737+89.9912d
2000-01-01 01:03:00 EST,+251.752+89.9914d
2000-01-01 01:04:00 EST,+251.747+89.9914d
2000-01-01 01:05:00 EST,+251.741+89.9913d
2000-01-01 01:06:00 EST,+251.753+89.9915d
2000-01-01 01:07:00 EST,+251.763+89.9916d
2000-01-01 01:08:00 EST,+251.782+89.9918d
2000-01-01 01:09:00 EST,+251.796+89.992d
2000-01-01 01:10:00 EST,+251.817+89.9923d
2000-01-01 01:11:00 EST,+251.823+89.993d
2000-01-01 01:12:00 EST,+251.836+89.9931d
2000-01-01 01:13:00 EST,+251.802+89.9922d
2000-01-01 01:14:00 EST,+251.803+89.9921d
