# Output_case1_3p\output_current_566.csv run at 2000-01-01 09:26:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,2.645826,-0.316074,2.645826,3.872716,2.645826,1.778321
TR1,2.645826,-0.316074,2.645826,3.872716,2.645826,1.778321
LINE1,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE2,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE3,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE4,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE5,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE6,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE7,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE8,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE9,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE10,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE11,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE12,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE13,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE14,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE15,0.000000,0.172464,0.000000,2.331263,0.000000,1.583932
LINE16,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE17,0.000000,-0.024932,0.000000,1.545864,0.000000,1.586857
LINE18,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE19,0.000000,0.957862,0.000000,0.669806,0.000000,1.555630
LINE20,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE21,0.000000,2.653013,0.000000,0.438716,0.000000,1.540656
LINE22,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE23,0.000000,-0.488580,0.000000,0.000000,0.000000,1.551235
LINE24,69.961739,-0.839673,69.961739,3.349118,69.961739,1.254723
LINE25,0.000000,-0.316389,0.000000,-1.273978,0.000000,1.553119
LINE26,1.015584,-0.843004,1.015584,3.345786,1.015584,1.251391
LINE27,68.946162,-0.839623,68.946162,3.349167,68.946162,1.254772
LINE28,0.000000,-0.316389,0.000000,-1.007726,0.000000,1.555630
LINE29,0.723259,-0.843004,0.723259,3.345787,0.723259,1.251391
LINE30,0.292325,-0.843006,0.292325,3.345784,0.292325,1.251389
LINE31,68.946162,-0.839623,68.946162,3.349167,68.946162,1.254772
LINE32,0.000000,-0.299099,0.000000,4.545560,0.000000,1.559433
LINE33,0.723259,-0.843004,0.723259,3.345787,0.723259,1.251391
LINE34,0.292325,-0.843006,0.292325,3.345784,0.292325,1.251389
LINE35,6.330046,-0.842340,6.330046,3.346450,6.330046,1.252055
LINE36,62.616141,-0.839349,62.616141,3.349441,62.616141,1.255046
LINE37,0.000000,-0.201641,0.000000,-1.317429,0.000000,1.558364
LINE38,0.292325,-0.843006,0.292325,3.345784,0.292325,1.251389
LINE39,2.794091,-0.842342,2.794091,3.346448,2.794091,1.252053
