# Output_case1_3p\output_voltage_1440.csv run at 2000-01-02 00:00:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.126863,-0.524084,252.126863,3.664706,252.126863,1.570311
Bus2,252.116865,-0.524075,252.116865,3.664715,252.116865,1.570320
Bus3,252.115817,-0.524074,252.115817,3.664716,252.115817,1.570321
Bus4,252.114835,-0.524073,252.114835,3.664717,252.114835,1.570322
Bus5,252.113979,-0.524072,252.113979,3.664718,252.113979,1.570323
Bus6,252.112630,-0.524071,252.112630,3.664719,252.112630,1.570324
Bus7,252.020788,-0.523988,252.020788,3.664802,252.020788,1.570407
Bus8,252.016674,-0.523985,252.016674,3.664806,252.016674,1.570410
Bus9,252.013250,-0.523982,252.013250,3.664809,252.013250,1.570414
Bus10,252.010246,-0.523979,252.010246,3.664811,252.010246,1.570416
Bus11,252.008004,-0.523977,252.008004,3.664813,252.008004,1.570418
Bus12,252.005899,-0.523975,252.005899,3.664815,252.005899,1.570420
Bus13,252.004605,-0.523974,252.004605,3.664816,252.004605,1.570421
Bus14,252.001383,-0.523971,252.001383,3.664819,252.001383,1.570424
Bus15,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus16,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus17,251.943633,-0.523919,251.943633,3.664871,251.943633,1.570476
Bus18,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus19,251.941455,-0.523917,251.941455,3.664873,251.941455,1.570478
Bus20,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus21,251.939010,-0.523915,251.939010,3.664876,251.939010,1.570481
Bus22,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus23,251.935028,-0.523911,251.935028,3.664879,251.935028,1.570484
Bus24,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus25,251.927785,-0.523904,251.927785,3.664886,251.927785,1.570491
Bus26,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus27,251.924565,-0.523901,251.924565,3.664889,251.924565,1.570494
Bus28,251.840762,-0.523826,251.840762,3.664964,251.840762,1.570569
Bus29,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus30,251.924481,-0.523901,251.924481,3.664889,251.924481,1.570494
Bus31,251.923782,-0.523901,251.923782,3.664890,251.923782,1.570495
Bus32,251.817596,-0.523805,251.817596,3.664985,251.817596,1.570590
Bus33,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus34,251.924290,-0.523901,251.924290,3.664889,251.924290,1.570494
Bus35,251.923755,-0.523901,251.923755,3.664890,251.923755,1.570495
Bus36,251.816674,-0.523804,251.816674,3.664986,251.816674,1.570591
Bus37,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus38,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus39,251.923717,-0.523900,251.923717,3.664890,251.923717,1.570495
Bus40,251.816642,-0.523804,251.816642,3.664986,251.816642,1.570591
Bus41,251.816527,-0.523804,251.816527,3.664986,251.816527,1.570591
Bus42,251.700446,-0.523699,251.700446,3.665091,251.700446,1.570696
Bus43,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus44,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus45,251.923668,-0.523900,251.923668,3.664890,251.923668,1.570495
Bus46,251.816628,-0.523804,251.816628,3.664986,251.816628,1.570591
Bus47,251.816175,-0.523804,251.816175,3.664987,251.816175,1.570591
Bus48,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus49,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus50,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus51,251.923549,-0.523900,251.923549,3.664890,251.923549,1.570495
Bus52,251.816613,-0.523804,251.816613,3.664986,251.816613,1.570591
Bus53,251.658952,-0.523662,251.658952,3.665128,251.658952,1.570733
Bus54,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus55,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus56,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus57,251.923447,-0.523900,251.923447,3.664890,251.923447,1.570495
Bus58,251.816598,-0.523804,251.816598,3.664986,251.816598,1.570591
Bus59,251.635268,-0.523640,251.635268,3.665150,251.635268,1.570755
Bus60,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus61,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus62,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus63,251.922959,-0.523900,251.922959,3.664890,251.922959,1.570495
Bus64,251.816589,-0.523804,251.816589,3.664986,251.816589,1.570591
Bus65,251.630738,-0.523636,251.630738,3.665154,251.630738,1.570759
Bus66,251.629171,-0.523634,251.629171,3.665156,251.629171,1.570761
Bus67,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus68,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus69,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus70,251.921231,-0.523898,251.921231,3.664892,251.921231,1.570497
Bus71,251.816572,-0.523804,251.816572,3.664986,251.816572,1.570591
Bus72,251.577209,-0.523588,251.577209,3.665202,251.577209,1.570807
Bus73,251.628889,-0.523634,251.628889,3.665156,251.628889,1.570761
Bus74,251.626472,-0.523632,251.626472,3.665159,251.626472,1.570763
Bus75,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus76,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus77,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus78,251.816486,-0.523804,251.816486,3.664986,251.816486,1.570591
Bus79,251.558551,-0.523571,251.558551,3.665219,251.558551,1.570824
Bus80,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus81,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus82,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus83,251.816160,-0.523804,251.816160,3.664987,251.816160,1.570591
Bus84,251.554479,-0.523567,251.554479,3.665223,251.554479,1.570828
Bus85,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus86,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus87,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus88,251.546222,-0.523560,251.546222,3.665230,251.546222,1.570835
Bus89,251.664181,-0.523666,251.664181,3.665124,251.664181,1.570729
Bus90,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus91,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus92,251.538435,-0.523553,251.538435,3.665237,251.538435,1.570842
Bus93,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus94,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus95,251.533909,-0.523549,251.533909,3.665242,251.533909,1.570846
Bus96,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus97,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus98,251.530920,-0.523546,251.530920,3.665244,251.530920,1.570849
Bus99,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus100,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus101,251.526793,-0.523542,251.526793,3.665248,251.526793,1.570853
Bus102,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus103,251.975283,-0.523947,251.975283,3.664843,251.975283,1.570448
Bus104,251.526763,-0.523542,251.526763,3.665248,251.526763,1.570853
Bus105,251.524222,-0.523540,251.524222,3.665250,251.524222,1.570855
Bus106,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
Bus107,251.526726,-0.523542,251.526726,3.665248,251.526726,1.570853
Bus108,251.522763,-0.523539,251.522763,3.665252,251.522763,1.570857
Bus109,251.748437,-0.523743,251.748437,3.665048,251.748437,1.570653
