# Output_EVs_4kW_3ph\output_current_1.csv run at 2000-01-01 00:01:00 EST on 907 links
link_name,currA_mag,currA_angle,currB_mag,currB_angle,currC_mag,currC_angle
Source_Impedance,13.671021,-0.353778,11.377535,3.784598,12.141831,1.882094
TR1,13.671021,-0.353778,11.377535,3.784598,12.141831,1.882094
LINE1,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE2,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE3,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE4,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE5,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE6,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE7,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE8,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE9,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE10,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE11,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE12,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE13,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE14,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE15,0.000000,3.704663,0.000000,1.113457,0.000000,1.588807
LINE16,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE17,0.000000,3.438411,0.000000,1.082217,0.000000,4.563102
LINE18,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE19,0.000000,3.241016,0.000000,0.837238,0.000000,4.593980
LINE20,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE21,0.000000,3.361639,0.000000,0.808049,0.000000,4.578515
LINE22,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE23,0.000000,3.580308,0.000000,1.005445,0.000000,1.631591
LINE24,378.497438,-0.838759,340.552925,3.332485,261.249680,1.248880
LINE25,0.000000,3.791402,0.000000,0.837238,0.000000,1.597901
LINE26,34.241997,-0.851861,0.000000,3.228701,0.000000,1.518587
LINE27,344.258671,-0.837456,340.552925,3.332485,261.249680,1.248880
LINE28,0.000000,3.791402,0.000000,0.760466,0.000000,1.623831
LINE29,17.120053,-0.851874,0.000000,-0.410552,0.000000,1.567564
LINE30,17.121944,-0.851847,0.000000,3.231583,0.000000,1.514721
LINE31,344.258671,-0.837456,340.552925,3.332485,261.249680,1.248880
LINE32,0.000000,4.043956,0.000000,0.649809,0.000000,1.639341
LINE33,17.120053,-0.851874,0.000000,0.086284,0.000000,-1.520331
LINE34,17.121944,-0.851847,0.000000,2.993420,0.000000,0.873748
LINE35,0.000000,3.491065,34.489938,3.333816,0.000000,-1.511486
LINE36,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE37,0.000000,4.001728,0.000000,0.902363,0.000000,1.658236
LINE38,17.121944,-0.851847,0.000000,3.390365,0.000000,4.590679
LINE39,0.000000,3.696062,17.245171,3.333819,0.000000,-1.510706
LINE40,0.000000,3.154723,17.244767,3.333814,0.000000,4.668228
LINE41,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE42,0.000000,4.252602,0.000000,-1.179724,0.000000,4.226862
LINE43,0.000000,3.704663,0.000000,0.220047,0.000000,3.116661
LINE44,17.121944,-0.851847,0.000000,2.908995,0.000000,1.666437
LINE45,0.000000,3.164925,17.245171,3.333819,0.000000,-1.445792
LINE46,0.000000,-0.562559,17.244767,3.333814,0.000000,1.717721
LINE47,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE48,0.000000,4.363578,0.000000,-1.201456,0.000000,4.427053
LINE49,0.000000,4.099454,0.000000,0.296819,0.000000,3.116661
LINE50,17.121944,-0.851847,0.000000,2.486424,0.000000,4.465337
LINE51,0.000000,2.872789,17.245171,3.333819,0.000000,-1.539226
LINE52,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE53,0.000000,3.120952,0.000000,-1.246481,0.000000,-0.934968
LINE54,0.000000,4.553393,0.000000,-1.121165,0.000000,4.602528
LINE55,0.000000,4.188110,0.000000,0.172464,0.000000,1.958275
LINE56,17.121944,-0.851847,0.000000,0.392983,0.000000,1.659943
LINE57,0.000000,3.242560,17.245171,3.333819,0.000000,-1.476436
LINE58,344.258671,-0.837456,306.063021,3.332334,261.249680,1.248880
LINE59,0.000000,3.318546,0.000000,-0.940072,0.000000,-1.569638
LINE60,0.000000,-1.521340,0.000000,-1.378770,0.000000,-1.402991
LINE61,0.000000,4.099454,0.000000,0.438716,0.000000,3.116661
LINE62,17.121944,-0.851847,0.000000,1.194847,0.000000,4.688857
LINE63,0.000000,2.679738,17.245171,3.333819,0.000000,-1.569066
LINE64,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
LINE65,35.051083,-0.845738,0.000000,0.256317,0.000000,-0.797138
LINE66,0.000000,3.587535,0.000000,-0.948059,0.000000,0.054882
LINE67,0.000000,-1.341789,0.000000,4.492507,0.000000,4.690212
LINE68,0.000000,4.687457,0.000000,0.220047,0.000000,4.547748
LINE69,17.121944,-0.851847,0.000000,3.486904,0.000000,-1.003368
LINE70,0.000000,2.679599,17.245171,3.333819,0.000000,-1.487417
LINE71,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
LINE72,17.525542,-0.845738,0.000000,3.785686,0.000000,-1.427351
LINE73,17.525542,-0.845738,0.000000,3.788927,0.000000,4.688790
LINE74,0.000000,0.544997,0.000000,-1.271520,0.000000,1.295982
LINE75,0.000000,-1.563029,0.000000,-1.393046,0.000000,-1.503406
LINE76,0.000000,4.648261,0.000000,0.503143,0.000000,4.507775
LINE77,0.000000,2.848220,17.245171,3.333819,0.000000,4.451560
LINE78,309.208926,-0.836518,306.063021,3.332334,261.249680,1.248880
