# file...... Output_EVs_20kW\Load1_voltage.csv
# date...... Thu Mar 03 17:59:22 2016
# user...... Gregorio
# host...... (null)
# target.... load 920
# trigger... (none)
# interval.. 0
# limit..... 0
# timestamp,voltage_A
2000-01-01 00:01:00 EST,+252.117-29.9991d
2000-01-01 00:02:00 EST,+252.119-29.9994d
2000-01-01 00:03:00 EST,+252.097-29.9992d
2000-01-01 00:04:00 EST,+252.09-29.9983d
2000-01-01 00:05:00 EST,+252.095-29.9994d
2000-01-01 00:06:00 EST,+252.087-29.9986d
2000-01-01 00:07:00 EST,+252.077-29.9983d
2000-01-01 00:08:00 EST,+252.062-29.9979d
2000-01-01 00:09:00 EST,+252.051-29.9976d
2000-01-01 00:10:00 EST,+251.883-29.9939d
2000-01-01 00:11:00 EST,+252.092-29.9991d
2000-01-01 00:12:00 EST,+252.077-29.9987d
2000-01-01 00:13:00 EST,+252.077-29.9983d
2000-01-01 00:14:00 EST,+252.074-29.9979d
2000-01-01 00:15:00 EST,+252.078-29.9981d
2000-01-01 00:16:00 EST,+252.069-29.9975d
2000-01-01 00:17:00 EST,+251.911-29.9944d
2000-01-01 00:18:00 EST,+251.911-29.9944d
2000-01-01 00:19:00 EST,+251.916-29.9945d
2000-01-01 00:20:00 EST,+252.073-29.9985d
2000-01-01 00:21:00 EST,+252.073-29.9985d
2000-01-01 00:22:00 EST,+252.072-29.9985d
2000-01-01 00:23:00 EST,+252.071-29.9984d
2000-01-01 00:24:00 EST,+252.062-29.9995d
2000-01-01 00:25:00 EST,+252.065-30.0025d
2000-01-01 00:26:00 EST,+252.073-30.0039d
2000-01-01 00:27:00 EST,+252.075-30.0021d
2000-01-01 00:28:00 EST,+252.075-30.0021d
2000-01-01 00:29:00 EST,+252.051-30.0015d
2000-01-01 00:30:00 EST,+252.039-30.0016d
2000-01-01 00:31:00 EST,+252.022-30.0012d
2000-01-01 00:32:00 EST,+252.024-30.0009d
2000-01-01 00:33:00 EST,+252.019-30.0031d
2000-01-01 00:34:00 EST,+252.016-30.0031d
2000-01-01 00:35:00 EST,+252.019-30.0031d
2000-01-01 00:36:00 EST,+252.017-30.0026d
2000-01-01 00:37:00 EST,+252.005-30.0023d
2000-01-01 00:38:00 EST,+251.989-30.0005d
2000-01-01 00:39:00 EST,+251.985-30.0004d
2000-01-01 00:40:00 EST,+251.956-29.999d
2000-01-01 00:41:00 EST,+251.955-29.9998d
2000-01-01 00:42:00 EST,+251.96-29.999d
2000-01-01 00:43:00 EST,+251.967-29.9997d
2000-01-01 00:44:00 EST,+251.978-30.0011d
2000-01-01 00:45:00 EST,+251.975-30.0002d
2000-01-01 00:46:00 EST,+251.998-30.0007d
2000-01-01 00:47:00 EST,+251.986-29.9978d
2000-01-01 00:48:00 EST,+251.99-29.9973d
2000-01-01 00:49:00 EST,+251.962-29.9957d
2000-01-01 00:50:00 EST,+251.95-29.9955d
2000-01-01 00:51:00 EST,+251.956-29.9963d
2000-01-01 00:52:00 EST,+251.96-29.9958d
2000-01-01 00:53:00 EST,+251.96-29.9958d
2000-01-01 00:54:00 EST,+251.807-29.9913d
2000-01-01 00:55:00 EST,+251.813-29.9931d
2000-01-01 00:56:00 EST,+251.792-29.9934d
2000-01-01 00:57:00 EST,+251.945-29.9969d
2000-01-01 00:58:00 EST,+251.949-29.9977d
2000-01-01 00:59:00 EST,+251.947-30.0003d
2000-01-01 01:00:00 EST,+251.94-30.0001d
2000-01-01 01:01:00 EST,+252.036-30.0023d
2000-01-01 01:02:00 EST,+252.037-30.0026d
2000-01-01 01:03:00 EST,+252.033-30.0022d
2000-01-01 01:04:00 EST,+252.039-30.0019d
2000-01-01 01:05:00 EST,+252.046-30.0033d
2000-01-01 01:06:00 EST,+252.046-30.0021d
2000-01-01 01:07:00 EST,+252.052-30.002d
2000-01-01 01:08:00 EST,+252.038-30.0011d
2000-01-01 01:09:00 EST,+252.052-30.0015d
2000-01-01 01:10:00 EST,+252.061-30.0023d
2000-01-01 01:11:00 EST,+252.093-30.0037d
2000-01-01 01:12:00 EST,+252.089-30.0044d
2000-01-01 01:13:00 EST,+252.072-30.004d
2000-01-01 01:14:00 EST,+252.046-30.0031d
2000-01-01 01:15:00 EST,+252.046-30.0031d
2000-01-01 01:16:00 EST,+252.041-30.0053d
2000-01-01 01:17:00 EST,+252.046-30.0023d
2000-01-01 01:18:00 EST,+252.071-30.0057d
2000-01-01 01:19:00 EST,+252.07-30.0046d
2000-01-01 01:20:00 EST,+252.071-30.0056d
2000-01-01 01:21:00 EST,+252.079-30.0028d
2000-01-01 01:22:00 EST,+252.093-30.0026d
2000-01-01 01:23:00 EST,+252.093-30.0024d
2000-01-01 01:24:00 EST,+252.088-30.0035d
2000-01-01 01:25:00 EST,+252.109-30.0024d
2000-01-01 01:26:00 EST,+252.121-30.0018d
2000-01-01 01:27:00 EST,+252.12-30.0011d
2000-01-01 01:28:00 EST,+252.142-30.0018d
2000-01-01 01:29:00 EST,+252.14-30.0003d
2000-01-01 01:30:00 EST,+252.14-30.0003d
2000-01-01 01:31:00 EST,+252.132-30.0005d
2000-01-01 01:32:00 EST,+252.125-30.0003d
2000-01-01 01:33:00 EST,+252.125-30.0003d
2000-01-01 01:34:00 EST,+252.125-29.9999d
2000-01-01 01:35:00 EST,+252.133-30.0012d
2000-01-01 01:36:00 EST,+252.13-30.0017d
2000-01-01 01:37:00 EST,+252.129-29.9998d
2000-01-01 01:38:00 EST,+252.125-29.9977d
2000-01-01 01:39:00 EST,+252.098-29.9988d
2000-01-01 01:40:00 EST,+252.1-29.9965d
2000-01-01 01:41:00 EST,+252.08-29.9961d
2000-01-01 01:42:00 EST,+252.059-29.9957d
2000-01-01 01:43:00 EST,+252.036-29.9957d
2000-01-01 01:44:00 EST,+252.035-29.9959d
2000-01-01 01:45:00 EST,+252.035-29.9959d
2000-01-01 01:46:00 EST,+252.038-29.9956d
2000-01-01 01:47:00 EST,+252.045-29.9963d
2000-01-01 01:48:00 EST,+252.056-29.9975d
2000-01-01 01:49:00 EST,+252.072-29.9963d
2000-01-01 01:50:00 EST,+252.066-29.996d
2000-01-01 01:51:00 EST,+252.065-29.9962d
2000-01-01 01:52:00 EST,+252.065-29.996d
2000-01-01 01:53:00 EST,+252.068-29.9955d
2000-01-01 01:54:00 EST,+252.082-29.9961d
2000-01-01 01:55:00 EST,+252.101-29.9961d
2000-01-01 01:56:00 EST,+252.101-29.9962d
2000-01-01 01:57:00 EST,+252.114-29.9979d
2000-01-01 01:58:00 EST,+252.107-29.9991d
2000-01-01 01:59:00 EST,+252.102-30.0016d
2000-01-01 02:00:00 EST,+252.106-30.0021d
2000-01-01 02:01:00 EST,+252.122-30.0013d
2000-01-01 02:02:00 EST,+252.136-30.001d
2000-01-01 02:03:00 EST,+252.136-30.0017d
2000-01-01 02:04:00 EST,+252.121-30.0017d
2000-01-01 02:05:00 EST,+252.121-30.0017d
2000-01-01 02:06:00 EST,+252.104-30.0013d
2000-01-01 02:07:00 EST,+252.104-30.0013d
2000-01-01 02:08:00 EST,+252.104-30.0013d
2000-01-01 02:09:00 EST,+252.105-30.0027d
2000-01-01 02:10:00 EST,+252.092-30.0034d
2000-01-01 02:11:00 EST,+252.085-30.0044d
2000-01-01 02:12:00 EST,+252.079-30.0065d
2000-01-01 02:13:00 EST,+252.064-30.0066d
2000-01-01 02:14:00 EST,+252.047-30.0059d
2000-01-01 02:15:00 EST,+252.035-30.0056d
2000-01-01 02:16:00 EST,+252.035-30.0056d
2000-01-01 02:17:00 EST,+252.035-30.0047d
2000-01-01 02:18:00 EST,+252.031-30.0052d
2000-01-01 02:19:00 EST,+252.052-30.0034d
2000-01-01 02:20:00 EST,+252.06-30.0026d
2000-01-01 02:21:00 EST,+252.055-30.0025d
2000-01-01 02:22:00 EST,+252.07-30.0021d
2000-01-01 02:23:00 EST,+252.057-30.003d
2000-01-01 02:24:00 EST,+252.061-30.0037d
2000-01-01 02:25:00 EST,+252.061-30.005d
2000-01-01 02:26:00 EST,+252.07-30.0062d
2000-01-01 02:27:00 EST,+252.056-30.0052d
2000-01-01 02:28:00 EST,+252.046-30.0044d
2000-01-01 02:29:00 EST,+252.067-30.0032d
2000-01-01 02:30:00 EST,+252.074-30.0023d
2000-01-01 02:31:00 EST,+252.053-30.0002d
2000-01-01 02:32:00 EST,+252.071-29.9986d
2000-01-01 02:33:00 EST,+252.071-29.9981d
2000-01-01 02:34:00 EST,+252.046-29.9962d
2000-01-01 02:35:00 EST,+252.046-29.9962d
2000-01-01 02:36:00 EST,+252.062-29.9953d
2000-01-01 02:37:00 EST,+252.05-29.9966d
2000-01-01 02:38:00 EST,+252.058-29.9968d
2000-01-01 02:39:00 EST,+252.058-29.9968d
2000-01-01 02:40:00 EST,+252.055-29.9958d
2000-01-01 02:41:00 EST,+252.045-29.9964d
