# Output_EVs_20kW\output_voltage_566.csv run at 2000-01-01 09:26:00 EST on 963 nodes
node_name,voltA_mag,voltA_angle,voltB_mag,voltB_angle,voltC_mag,voltC_angle
SourceBus,6668.395609,0.000000,6668.395609,4.188790,6668.395609,2.094395
Bus1,252.184235,-0.525122,251.832926,3.663317,251.948107,1.570331
Bus2,252.179766,-0.524838,251.633371,3.663397,251.972391,1.570074
Bus3,252.179299,-0.524808,251.612451,3.663405,251.974938,1.570047
Bus4,252.178861,-0.524780,251.592851,3.663413,251.977324,1.570022
Bus5,252.178480,-0.524756,251.575764,3.663420,251.979404,1.570000
Bus6,252.177879,-0.524718,251.548844,3.663431,251.982682,1.569965
Bus7,252.137858,-0.522108,249.715804,3.664171,252.206599,1.567601
Bus8,252.136106,-0.521991,249.633708,3.664204,252.216661,1.567495
Bus9,252.134650,-0.521894,249.565378,3.664232,252.225037,1.567407
Bus10,252.133374,-0.521809,249.505414,3.664257,252.232390,1.567330
Bus11,252.132423,-0.521745,249.460669,3.664275,252.237878,1.567272
Bus12,252.131532,-0.521685,249.418665,3.664292,252.243030,1.567218
Bus13,252.130984,-0.521649,249.392836,3.664302,252.246199,1.567185
Bus14,252.129622,-0.521557,249.328534,3.664329,252.254088,1.567102
Bus15,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus16,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus17,252.105563,-0.519916,248.175983,3.664801,252.395798,1.565618
Bus18,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus19,252.104669,-0.519854,248.132522,3.664819,252.401152,1.565563
Bus20,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus21,252.103667,-0.519784,248.083720,3.664839,252.407166,1.565500
Bus22,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus23,252.102037,-0.519671,248.004261,3.664872,252.416959,1.565398
Bus24,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus25,252.099080,-0.519465,247.859707,3.664931,252.434783,1.565212
Bus26,252.118665,-0.520815,248.807640,3.664542,252.318064,1.566431
Bus27,252.076505,-0.519443,247.859776,3.664930,252.435028,1.565212
